transaction_id,account_id,transaction_datetime,amount,transaction_type
TXN000067,ACC00068,2026-03-07T06:23:57,187394.33,Cash Withdrawal
TXN000068,ACC00069,2026-07-15T03:10:57,197950.67,ATM
TXN000069,ACC00070,2026-06-14T21:22:57,32503.68,Debit Card
TXN000070,ACC00071,2026-01-29T14:48:57,21246.51,Credit Card
TXN000071,ACC00072,2026-05-19T00:49:57,139185.85,Wallet
TXN000072,ACC00073,2026-07-20T19:19:57,76852.51,UPI
TXN000073,ACC00074,2026-03-07T05:22:57,177916.44,NEFT
TXN000074,ACC00075,2026-03-03T08:24:57,222687.49,RTGS
TXN000075,ACC00076,2026-03-25T03:09:57,213251.26,IMPS
TXN000076,ACC00077,2026-07-07T04:15:57,28209.68,Cash Withdrawal
TXN000077,ACC00078,2026-04-26T23:11:57,149018.16,ATM
TXN000078,ACC00079,2026-05-16T12:21:57,29500.78,Debit Card
TXN000079,ACC00080,2026-04-28T07:14:57,62046.55,Credit Card
TXN000080,ACC00001,2026-03-06T13:29:57,48042.90,Wallet
TXN000081,ACC00002,2026-01-26T13:16:57,213973.41,UPI
TXN000082,ACC00003,2026-07-15T16:01:57,207804.19,NEFT
TXN000083,ACC00004,2026-04-02T10:24:57,236528.76,RTGS
TXN000084,ACC00005,2026-06-07T10:47:57,239874.23,IMPS
TXN000085,ACC00006,2026-02-14T02:01:57,154888.80,Cash Withdrawal
TXN000086,ACC00007,2026-03-15T14:30:57,18178.24,ATM
TXN000087,ACC00008,2026-03-07T11:35:57,215757.14,Debit Card
TXN000088,ACC00009,2026-03-10T11:36:57,141964.59,Credit Card
TXN000089,ACC00010,2026-05-07T22:48:57,226434.09,Wallet
TXN000090,ACC00011,2026-06-20T08:27:57,234126.88,UPI
TXN000091,ACC00012,2026-04-28T08:33:57,20769.75,NEFT
TXN000092,ACC00013,2026-02-26T12:03:57,216200.23,RTGS
TXN000093,ACC00014,2026-05-25T19:50:57,7069.34,IMPS
TXN000094,ACC00015,2026-03-29T04:10:57,116521.15,Cash Withdrawal
TXN000095,ACC00016,2026-07-13T05:27:57,208343.62,ATM
TXN000096,ACC00017,2026-01-23T10:15:57,247027.37,Debit Card
TXN000097,ACC00018,2026-03-07T04:31:57,182937.78,Credit Card
TXN000098,ACC00019,2026-03-30T06:40:57,108546.21,Wallet
TXN000099,ACC00020,2026-06-21T19:36:57,240418.35,UPI
TXN000100,ACC00021,2026-04-19T00:22:57,115056.02,NEFT
TXN000101,ACC00022,2026-02-03T03:04:57,98233.38,RTGS
TXN000102,ACC00023,2026-05-25T05:50:57,14348.04,IMPS
TXN000103,ACC00024,2026-05-17T01:42:57,232527.92,Cash Withdrawal
TXN000104,ACC00025,2026-03-19T07:43:57,141947.88,ATM
TXN000105,ACC00026,2026-06-09T19:53:57,20325.79,Debit Card
TXN000106,ACC00027,2026-01-21T22:27:57,21342.32,Credit Card
TXN000107,ACC00028,2026-03-24T11:32:57,33109.49,Wallet
TXN000108,ACC00029,2026-02-02T01:41:57,198197.50,UPI
TXN000109,ACC00030,2026-07-16T07:03:57,199731.96,NEFT
TXN000110,ACC00031,2026-05-01T18:34:57,230501.92,RTGS
TXN000111,ACC00032,2026-06-21T05:21:57,62056.05,IMPS
TXN000112,ACC00033,2026-03-24T21:39:57,94734.84,Cash Withdrawal
TXN000113,ACC00034,2026-04-14T09:28:57,104593.92,ATM
TXN000114,ACC00035,2026-03-03T06:00:57,132201.54,Debit Card
TXN000115,ACC00036,2026-06-19T12:28:57,99199.86,Credit Card
TXN000116,ACC00037,2026-05-03T20:02:57,122850.30,Wallet
TXN000117,ACC00038,2026-05-28T19:54:57,101832.48,UPI
TXN000118,ACC00039,2026-03-11T03:41:57,133915.45,NEFT
TXN000119,ACC00040,2026-05-15T16:51:57,72436.43,RTGS
TXN000120,ACC00041,2026-03-11T06:16:57,191315.88,IMPS
TXN000121,ACC00042,2026-02-07T05:40:57,105618.62,Cash Withdrawal
TXN000122,ACC00043,2026-04-22T03:43:57,197299.09,ATM
TXN000123,ACC00044,2026-05-23T03:36:57,124176.16,Debit Card
TXN000124,ACC00045,2026-02-14T15:22:57,42730.75,Credit Card
TXN000125,ACC00046,2026-06-26T02:41:57,206779.22,Wallet
TXN000126,ACC00047,2026-03-09T14:18:57,128242.08,UPI
TXN000127,ACC00048,2026-02-12T08:44:57,111893.38,NEFT
TXN000128,ACC00049,2026-03-04T21:05:57,219097.98,RTGS
TXN000129,ACC00050,2026-06-13T13:21:57,113958.02,IMPS
TXN000130,ACC00051,2026-07-11T10:46:57,228925.87,Cash Withdrawal
TXN000131,ACC00052,2026-02-14T03:06:57,222801.30,ATM
TXN000132,ACC00053,2026-01-31T22:12:57,82421.08,Debit Card
TXN000133,ACC00054,2026-06-06T22:22:57,3159.81,Credit Card
TXN000134,ACC00055,2026-04-05T01:21:57,173310.34,Wallet
TXN000135,ACC00056,2026-06-02T10:17:57,77909.26,UPI
TXN000136,ACC00057,2026-06-24T12:25:57,177617.25,NEFT
TXN000137,ACC00058,2026-02-15T07:58:57,148467.28,RTGS
TXN000138,ACC00059,2026-02-18T07:27:57,70994.51,IMPS
TXN000139,ACC00060,2026-04-20T17:47:57,41967.51,Cash Withdrawal
TXN000140,ACC00061,2026-04-12T12:41:57,147759.83,ATM
TXN000141,ACC00062,2026-03-03T01:37:57,166652.12,Debit Card
TXN000142,ACC00063,2026-07-06T01:44:57,211008.65,Credit Card
TXN000143,ACC00064,2026-05-21T15:06:57,129558.96,Wallet
TXN000144,ACC00065,2026-06-18T00:21:57,238330.42,UPI
TXN000145,ACC00066,2026-04-04T04:27:57,204927.32,NEFT
TXN000146,ACC00067,2026-02-20T10:49:57,110890.34,RTGS
TXN000147,ACC00068,2026-02-15T15:50:57,247254.07,IMPS
TXN000148,ACC00069,2026-03-14T14:16:57,227783.17,Cash Withdrawal
TXN000149,ACC00070,2026-04-30T02:44:57,232096.11,ATM
TXN000150,ACC00071,2026-07-18T00:24:57,55480.18,Debit Card
TXN000151,ACC00072,2026-03-30T11:58:57,72136.07,Credit Card
TXN000152,ACC00073,2026-05-14T22:49:57,157298.98,Wallet
TXN000153,ACC00074,2026-03-01T09:44:57,218518.64,UPI
TXN000154,ACC00075,2026-05-16T10:01:57,175617.98,NEFT
TXN000155,ACC00076,2026-03-07T23:54:57,183124.61,RTGS
TXN000156,ACC00077,2026-01-21T10:31:57,11436.90,IMPS
TXN000157,ACC00078,2026-06-02T19:47:57,13257.69,Cash Withdrawal
TXN000158,ACC00079,2026-03-30T14:28:57,67872.38,ATM
TXN000159,ACC00080,2026-01-30T15:24:57,168316.94,Debit Card
TXN000160,ACC00001,2026-06-23T19:30:57,215087.99,Credit Card
TXN000161,ACC00002,2026-06-26T10:54:57,166150.30,Wallet
TXN000162,ACC00003,2026-05-06T13:34:57,123240.25,UPI
TXN000163,ACC00004,2026-06-19T06:59:57,28098.67,NEFT
TXN000164,ACC00005,2026-03-18T18:56:57,178045.20,RTGS
TXN000165,ACC00006,2026-03-10T22:32:57,80313.10,IMPS
TXN000166,ACC00007,2026-03-14T18:22:57,3071.45,Cash Withdrawal
TXN000167,ACC00008,2026-03-23T16:25:57,215954.58,ATM
TXN000168,ACC00009,2026-04-27T17:18:57,98755.49,Debit Card
TXN000169,ACC00010,2026-05-25T14:14:57,89797.73,Credit Card
TXN000170,ACC00011,2026-05-10T20:25:57,120175.34,Wallet
TXN000171,ACC00012,2026-01-21T14:58:57,67527.97,UPI
TXN000172,ACC00013,2026-03-11T04:27:57,181587.48,NEFT
TXN000173,ACC00014,2026-02-14T00:51:57,39450.58,RTGS
TXN000174,ACC00015,2026-03-07T19:42:57,132948.65,IMPS
TXN000175,ACC00016,2026-02-02T02:06:57,151952.82,Cash Withdrawal
TXN000176,ACC00017,2026-05-03T13:50:57,170789.58,ATM
TXN000177,ACC00018,2026-03-17T20:27:57,93443.05,Debit Card
TXN000178,ACC00019,2026-02-17T22:23:57,39615.72,Credit Card
TXN000179,ACC00020,2026-04-17T19:31:57,17286.48,Wallet
TXN000180,ACC00021,2026-03-07T13:41:57,156362.66,UPI
TXN000181,ACC00022,2026-06-16T13:02:57,177936.76,NEFT
TXN000182,ACC00023,2026-05-16T01:46:57,142221.18,RTGS
TXN000183,ACC00024,2026-06-30T02:27:57,238944.24,IMPS
TXN000184,ACC00025,2026-04-07T21:14:57,58921.65,Cash Withdrawal
TXN000185,ACC00026,2026-04-06T14:32:57,48643.07,ATM
TXN000186,ACC00027,2026-02-04T08:20:57,4750.44,Debit Card
TXN000187,ACC00028,2026-04-22T01:37:57,76799.47,Credit Card
TXN000188,ACC00029,2026-03-08T23:05:57,112017.18,Wallet
TXN000189,ACC00030,2026-07-06T04:28:57,116314.76,UPI
TXN000190,ACC00031,2026-04-24T08:17:57,204010.30,NEFT
TXN000191,ACC00032,2026-01-27T18:40:57,92099.17,RTGS
TXN000192,ACC00033,2026-04-22T10:53:57,138780.96,IMPS
TXN000193,ACC00034,2026-01-21T02:50:57,8270.26,Cash Withdrawal
TXN000194,ACC00035,2026-02-08T19:20:57,66099.84,ATM
TXN000195,ACC00036,2026-04-21T03:01:57,22604.71,Debit Card
TXN000196,ACC00037,2026-03-21T13:58:57,180476.49,Credit Card
TXN000197,ACC00038,2026-03-05T04:19:57,139331.90,Wallet
TXN000198,ACC00039,2026-01-21T11:32:57,61078.52,UPI
TXN000199,ACC00040,2026-05-05T06:47:57,229454.21,NEFT
TXN000200,ACC00041,2026-04-27T07:10:57,199442.58,RTGS
